1jgzmbg,Tax accountants going through 800 pages of trading activity just to see $2.32 of capital gains for their client,,1742614740.0
1jgxxo6,Sign of imminent crash - Costco discounts,"I love Costco and go there every week. Suddenly everything is being discounted. Not small discounts. 

Prices should be increasing with tariffs but Costco is dropping prices. Sometimes 30%+.

I’ve never seen such a massive discount drop since I started coming in weekly a few years ago.",1742609213.0
1jgvyy6,Whose ready for the subprime burrito crisis of 2025.,,1742603245.0
1jgtpkf,Successful hectic trading week done,Play the SPY daily.,1742596929.0
1jgsxx0,I’m not gambling Sharon,,1742594834.0
1jgsuet,Time to pray for some bad news over the weekend 😔,,1742594566.0
1jgrzmw,This was bound to happen,Here is some loss porn for all my degens,1742592287.0
1jgr95w,0DTE SPY roller coaster - $103k gain porn 🎢💰🚀,"Hello fellow regards, I just experienced peak WSB degeneracy.

Started with SPY 564 calls 0DTE. Market went more sideways than my trading strategy. Cut losses at -20%.

In true smooth-brain fashion, took my remaining cash and YOLOed 1000 contracts of SPY 563 calls at 3:40pm. $16k on paper tickets with 20 minutes to expiry.

Hit $190k at peak then Questrade decided to ""risk review"" me for 30 seconds. Cost me about $85k when I couldn't sell at the top. Still escaped with $103k profit.

Thought I was gonna start working at Wendy's, but the last 10 minutes changed everything.
Seriously though, that last 15 mins of trading was pure insanity - never doing that again. Like a Boomer, I'm going to invest these gains in IXUS and XEQT instead of trying my luck next week.

Shoutout to PumpkinWest7430, gave some guidance and tried to keep me sane but my degeneracy couldn't help it.
",1742590390.0
1jgqq7w,WTF happened?!,"I had a limit order set at $7.25 - at 3:31 I got a notification that my order was cancelled and this order was filled.  Why, WTF?!",1742589030.0
1jgqj81,"Yolo 100 calls qqq gains $12,500. Hood did me dirty today.","Hood closed one of my hedge against my tsla puts today 😂 forgot about the closeout process. Should have played ndx instead. Lost $8000 gains on that 100 0dte calls. Still made some with this Yolo 

https://imgur.com/a/cc6UYQ9",1742588521.0
1jgzmbg,Tax accountants going through 800 pages of trading activity just to see $2.32 of capital gains for their client,,1742614740.0
1jgxxo6,Sign of imminent crash - Costco discounts,"I love Costco and go there every week. Suddenly everything is being discounted. Not small discounts. 

Prices should be increasing with tariffs but Costco is dropping prices. Sometimes 30%+.

I’ve never seen such a massive discount drop since I started coming in weekly a few years ago.",1742609213.0
1jgvyy6,Whose ready for the subprime burrito crisis of 2025.,,1742603245.0
1jgtpkf,Successful hectic trading week done,Play the SPY daily.,1742596929.0
1jgsxx0,I’m not gambling Sharon,,1742594834.0
1jgsuet,Time to pray for some bad news over the weekend 😔,,1742594566.0
1jgrzmw,This was bound to happen,Here is some loss porn for all my degens,1742592287.0
1jgr95w,0DTE SPY roller coaster - $103k gain porn 🎢💰🚀,"Hello fellow regards, I just experienced peak WSB degeneracy.

Started with SPY 564 calls 0DTE. Market went more sideways than my trading strategy. Cut losses at -20%.

In true smooth-brain fashion, took my remaining cash and YOLOed 1000 contracts of SPY 563 calls at 3:40pm. $16k on paper tickets with 20 minutes to expiry.

Hit $190k at peak then Questrade decided to ""risk review"" me for 30 seconds. Cost me about $85k when I couldn't sell at the top. Still escaped with $103k profit.

Thought I was gonna start working at Wendy's, but the last 10 minutes changed everything.
Seriously though, that last 15 mins of trading was pure insanity - never doing that again. Like a Boomer, I'm going to invest these gains in IXUS and XEQT instead of trying my luck next week.

Shoutout to PumpkinWest7430, gave some guidance and tried to keep me sane but my degeneracy couldn't help it.
",1742590390.0
1jgqq7w,WTF happened?!,"I had a limit order set at $7.25 - at 3:31 I got a notification that my order was cancelled and this order was filled.  Why, WTF?!",1742589030.0
1jgqj81,"Yolo 100 calls qqq gains $12,500. Hood did me dirty today.","Hood closed one of my hedge against my tsla puts today 😂 forgot about the closeout process. Should have played ndx instead. Lost $8000 gains on that 100 0dte calls. Still made some with this Yolo 

https://imgur.com/a/cc6UYQ9",1742588521.0
1jh194y,Ticketing platform StubHub reveals 30% revenue growth in US IPO filing,,1742620597.0
1jgzmbg,Tax accountants going through 800 pages of trading activity just to see $2.32 of capital gains for their client,,1742614740.0
1jgxxo6,Sign of imminent crash - Costco discounts,"I love Costco and go there every week. Suddenly everything is being discounted. Not small discounts. 

Prices should be increasing with tariffs but Costco is dropping prices. Sometimes 30%+.

I’ve never seen such a massive discount drop since I started coming in weekly a few years ago.",1742609213.0
1jgvyy6,Whose ready for the subprime burrito crisis of 2025.,,1742603245.0
1jgtpkf,Successful hectic trading week done,Play the SPY daily.,1742596929.0
1jgsxx0,I’m not gambling Sharon,,1742594834.0
1jgsuet,Time to pray for some bad news over the weekend 😔,,1742594566.0
1jgrzmw,This was bound to happen,Here is some loss porn for all my degens,1742592287.0
1jgr95w,0DTE SPY roller coaster - $103k gain porn 🎢💰🚀,"Hello fellow regards, I just experienced peak WSB degeneracy.

Started with SPY 564 calls 0DTE. Market went more sideways than my trading strategy. Cut losses at -20%.

In true smooth-brain fashion, took my remaining cash and YOLOed 1000 contracts of SPY 563 calls at 3:40pm. $16k on paper tickets with 20 minutes to expiry.

Hit $190k at peak then Questrade decided to ""risk review"" me for 30 seconds. Cost me about $85k when I couldn't sell at the top. Still escaped with $103k profit.

Thought I was gonna start working at Wendy's, but the last 10 minutes changed everything.
Seriously though, that last 15 mins of trading was pure insanity - never doing that again. Like a Boomer, I'm going to invest these gains in IXUS and XEQT instead of trying my luck next week.

Shoutout to PumpkinWest7430, gave some guidance and tried to keep me sane but my degeneracy couldn't help it.
",1742590390.0
1jgqq7w,WTF happened?!,"I had a limit order set at $7.25 - at 3:31 I got a notification that my order was cancelled and this order was filled.  Why, WTF?!",1742589030.0
